repository_owner,repository_name,repository_url,original_flesch_score,textstat_score,py_readability_score
alchemiststudiosDOTai,tinyAgent,https://github.com/alchemiststudiosDOTai/tinyAgent,43.25002673796794,52.962282750112166,48.77099056603774
acornprover,acornlib,https://github.com/acornprover/acornlib,62.78771449434103,65.13528893587036,61.84774543213459
acryldata,mcp-server-datahub,https://github.com/acryldata/mcp-server-datahub,25.093633209417614,48.28239240506332,42.60428006329116
Freika,dawarich,https://github.com/Freika/dawarich,-4.138358296376822,26.253703750314628,20.83043060091771
bdougie,contributor.info,https://github.com/bdougie/contributor.info,14.673067226890764,32.2966377447344,31.10852488784451
RelistenNet,relisten-mobile,https://github.com/RelistenNet/relisten-mobile,16.949952978056444,46.842356707317094,48.4029192073171
futuroptimist,token.place,https://github.com/futuroptimist/token.place,28.90984848484851,49.28818181818184,
lymestack,SimpleAuth4Net,https://github.com/lymestack/SimpleAuth4Net,23.82933035714288,47.95436484189054,48.04933046471601
VRHIKKY,VketCloudSDK_Documents,https://github.com/VRHIKKY/VketCloudSDK_Documents,9.98180546302467,26.675499322595243,29.015506025506056
superwall,expo-superwall,https://github.com/superwall/expo-superwall,-6.6716625615763405,36.33298319327733,30.516466584158422
LZong-tw,readwise-reader-management,https://github.com/LZong-tw/readwise-reader-management,25.177039616319576,43.847725928410284,40.220941216678085
assaydepot,red-candle,https://github.com/assaydepot/red-candle,0.0779252918287909,30.837011804294434,27.350212089077417
khromov,context-coder,https://github.com/khromov/context-coder,34.09053383250142,49.758776009791944,43.66908496732026
khromov,sveltekit-local-ai,https://github.com/khromov/sveltekit-local-ai,12.70525779457418,46.054067478912856,46.13241596638659
amun-ai,hypha,https://github.com/amun-ai/hypha,6.553302977671848,28.74901681994629,25.803001660341607
doorhinge-apps,Aura2.0,https://github.com/doorhinge-apps/Aura2.0,17.818718082334556,46.00776704769416,40.72717516565831
ftnext,sphinx-new-tab-link,https://github.com/ftnext/sphinx-new-tab-link,19.920588235294133,55.71494252873566,52.59751141552513
mattpocock,total-typescript-monorepo,https://github.com/mattpocock/total-typescript-monorepo,16.57478929065553,31.33752465935683,31.130698445957762
claude-did-this,MCPControl,https://github.com/claude-did-this/MCPControl,53.06563702394976,68.62194579288027,70.44951612903228
mastra-ai,mastra,https://github.com/mastra-ai/mastra,-7.04358432693968,35.7949882119475,39.7124532126208
different-ai,note-companion,https://github.com/different-ai/note-companion,34.194373953098875,54.132666666666665,53.07235173210165
geeknik,map-think-do,https://github.com/geeknik/map-think-do,-4.708301249290173,17.84948597713472,13.931913649284695
mendableai,firecrawl,https://github.com/mendableai/firecrawl,65.04109039548024,77.37847058823529,77.51361538461539
ogrew,visp,https://github.com/ogrew/visp,52.71532967032971,66.81040404040405,
digitaldemocracy2030,polimoney,https://github.com/digitaldemocracy2030/polimoney,28.215393258426985,43.94126984126987,45.07025821596244
digitaldemocracy2030,kouchou-ai,https://github.com/digitaldemocracy2030/kouchou-ai,10.426799773435278,32.421195200738396,31.957822541523285
bsmi021,mcp-file-context-server,https://github.com/bsmi021/mcp-file-context-server,-10.158478260869543,43.57123786407769,35.03525975132007
morphik-org,morphik-core,https://github.com/morphik-org/morphik-core,-2.9609090909090696,26.810169942733324,21.922374279809645
mrled,KeymapKit,https://github.com/mrled/KeymapKit,25.881417322834693,44.851196177757345,41.20429207920793
rogasp,evlink-backend,https://github.com/rogasp/evlink-backend,10.578218472976856,36.48258136759776,34.693022880585005
receptron,mulmocast-app,https://github.com/receptron/mulmocast-app,10.990002662832213,36.94221779597919,35.26970855614974
receptron,mulmocast-cli,https://github.com/receptron/mulmocast-cli,15.165251576373748,39.893044951434376,39.34840975830133
cortesi,canopy,https://github.com/cortesi/canopy,27.80163043478265,38.04718367346939,
DevelopedByDev,autoquill_ai,https://github.com/DevelopedByDev/autoquill_ai,-10.487999999999944,35.2997500079768,27.412430232558165
kohii,medi-xplorer,https://github.com/kohii/medi-xplorer,25.724747196537493,48.39858536585368,45.818665413533836
Medo42,Faucet-Lobby,https://github.com/Medo42/Faucet-Lobby,18.68384734513276,30.116470588235302,27.413169459962774
laplace-live,event-bridge,https://github.com/laplace-live/event-bridge,26.87241729470492,44.51133723419437,44.00363636363639
RchGrav,claudebox,https://github.com/RchGrav/claudebox,41.834026832572846,48.723317107449304,49.33279589091356
loinc,comp-loinc,https://github.com/loinc/comp-loinc,21.27163572312673,40.55666901408452,33.420076443816015
typstyle-rs,typstyle,https://github.com/typstyle-rs/typstyle,12.129884696016774,43.91909726636999,39.63754273504276
koaning,mopaint,https://github.com/koaning/mopaint,25.632424242424293,41.487758620689675,35.28903735632187
ohcnetwork,care_fe,https://github.com/ohcnetwork/care_fe,17.45625000000001,59.03043590571522,55.929935041501295
MelbourneDeveloper,osprey,https://github.com/MelbourneDeveloper/osprey,6.218939393939394,36.22399884177187,32.916811383662804
TracecatHQ,tracecat,https://github.com/TracecatHQ/tracecat,24.71910783575277,44.54452253387964,39.21194125866754
mikkelkrogsholm,ai-prepper,https://github.com/mikkelkrogsholm/ai-prepper,33.305866634064586,42.09161069759392,35.776194824961976
